date,annualNPP_med,annualNPP_mean,annualNPP_std,annualNPP_cnt,annualNPP_max,annualNPP_min
NA,NA,NA,NA,NA,NA,NA
1986,6126.8524629,6107.0034345,716.3000085,5372,10130,3289
1987,6318.7569419,6276.2632822,709.4029146,5372,10011,3442
1988,7119.4909546,7010.0678817,668.0449157,5372,10825,4037
1989,7502.3910626,7187.9866919,848.0903676,5372,10787,3690
1990,7342.4795496,7285.376302,783.9730937,5372,11156,3978
1991,7407.4580235,7217.7007998,841.5327341,5372,11173,3731
1992,8176.3886342,7896.8534467,816.569843,5372,11343,4174
1993,6671.7857803,6553.5688705,936.6847138,5531,8397,1068
1994,7888.0536281,7634.298711,1100.0021404,5531,9234,1842
1995,7727.3452773,7458.2741379,1131.4899494,5531,9077,1508
1996,7919.9005001,7664.1763656,1113.3223822,5531,9183,1807
1997,7727.8983427,7528.4157175,1030.5727685,5531,9237,1962
1998,8014.9396844,7776.245944,1104.4707918,5531,9464,1989
1999,8591.5615494,8353.016566,1154.8016596,5531,10035,2007
2000,8814.9425021,8514.266694,1187.0405405,5531,10118,2389
2001,8270.4682251,7978.7968257,1144.9754695,5531,9536,1974
2002,6512.1032571,6356.1325356,965.2967749,5531,8248,186
2003,10287.3602986,9790.6775983,1467.0080477,5531,11003,2955
2004,8590.7149789,8225.2550242,1228.8395461,5531,9696,1663
2005,7919.3526044,7589.0957891,1180.2768328,5531,9156,1053
2006,8992.7061256,8658.8994977,1234.4616727,5531,10335,1750
2007,6478.7611928,6385.2366532,966.4167071,5528,8490,343
2008,8478.0404282,8203.315077,1174.8656329,5528,10042,1696
2009,8798.6877786,8490.3014275,1290.1140933,5528,10179,1797
2010,7135.9153879,6953.6478549,1091.8516363,5528,8888,380
2011,4111.0908914,4190.0525988,859.4740472,5528,6777,0
2012,5615.0465994,5570.3788685,967.9345298,5528,7773,0
2013,7471.6310768,7133.7293778,1211.3414171,5528,8676,619
2014,8286.4703883,7977.3024324,1185.7078957,5528,9754,1337
2015,8416.4898716,8088.1583039,1259.2813027,5528,9856,1106
2016,9631.0268547,9218.6517963,1436.7607901,5528,10955,1713
2017,8990.6521955,8626.737646,1352.7448936,5528,10543,1303
2018,8606.7492966,8199.9093666,1426.2163161,5528,9828,937
2019,8095.623661,8053.5534161,985.503372,5375,9779,1446
NA,NA,NA,NA,NA,NA,NA
