stage_in,discharge_103m3d-1,stage_cm,discharge_m3s
5.954450084,0.971619229,15.124303213360001,0.01124559292824074
7.69370174,1.033789073,19.5420024196,0.011965151307870368
9.031160509,3.909621694,22.939147692859997,0.04525025108796296
13.06870056,21.89982344,33.1944994224,0.2534701787037037
14.24147268,33.69784618,36.1733406072,0.39002136782407404
14.56411202,36.15254501,36.9928445308,0.418432233912037
20.52248433,63.07431777,52.1271101982,0.7300268260416667
21.11211924,74.05831843,53.6247828696,0.8571564633101851
26.60159536,90.12830624,67.5680522144,1.0431516925925925
27.0893939,93.85744773,68.807060506,1.0863130524305555
32.0959152,253.8494675,81.523624608,2.938072540509259
32.14683339,269.5461505,81.65295681059999,3.1197471122685188
