date,location,depth.m,k.mglperhr,method,KO2.perday,K600,discharge_m3s
3/29/1969,concrete_bridge,0.55,2.04,nreg,48.96,46.0352458667921,0.8339803349330877
4/1/1969,concrete_bridge,0.5,0.57,nreg,13.68,12.862789286309559,0.6091655628989485
4/25/1969,blackwood,0.25,2.5,nreg,60,56.41574248381385,0.062031448762827256
5/16/1969,concrete_bridge,0.41,0.432,nreg,10.368,9.748640301203034,0.3167278529420634
6/2/1969,concrete_bridge,0.39,1.7,nreg,40.8,38.36270488899342,0.26859923078020376
7/1/1969,concrete_bridge,0.37,-0.35,nreg,-8.399999999999999,-7.898203947733938,0.22581569757127734
7/25/1969,concrete_bridge,0.4,2,nreg,48,45.13259398705108,0.2919731676667734
2/14/1970,concrete_bridge,0.4,2.1,nreg,50.400000000000006,47.38922368640364,0.2919731676667734
2/14/1970,concrete_bridge,0.2,2.1,nreg,50.400000000000006,47.38922368640364,0.02973168493644196
NA,NA,0.325,0.21,empirical,5.04,4.738922368640364,0.14727945567154063
NA,NA,0.35,0.26,empirical,6.24,5.867237218316641,0.18802484880144807
NA,NA,0.375,0.38,empirical,9.120000000000001,8.575192857539706,0.2360298448629063
NA,NA,0.4,0.4,empirical,9.600000000000001,9.026518797410217,0.2919731676667734
NA,NA,0.425,0.47,empirical,11.28,10.606159586957004,0.3565470723646972
NA,NA,0.45,0.53,empirical,12.72,11.960137406568537,0.4304567428109933
NA,NA,0.475,0.66,empirical,15.84,14.893756015726858,0.5144197500896575
NA,NA,0.5,0.72,empirical,17.28,16.24773383533839,0.6091655628989485
NA,NA,0.525,0.78,empirical,18.72,17.60171165494992,0.7154351023246114
NA,NA,0.55,0.73,empirical,17.52,16.473396805273644,0.8339803349330877
NA,NA,0.575,0.7,empirical,16.799999999999997,15.796407895467876,0.9655638991987795
NA,NA,0.6,0.65,empirical,15.600000000000001,14.668093045791602,1.1109587611279057
NA,NA,0.625,0.62,empirical,14.879999999999999,13.991104135985834,1.2709478956145284
NA,NA,0.65,0.55,empirical,13.200000000000001,12.41146334643905,1.4463239906040766
5/13/1970,riffle,0.55,1.73,dome,41.519999999999996,39.039693798799185,0.8339803349330877
5/22/1970,riffle,0.58,0.83,dome,19.919999999999998,18.7300265046262,0.9935130547646642
6/14/1970,riffle,0.35,0.712,dome,17.088,16.067203459390186,0.18802484880144807
5/21/1970,pool,0.55,0.18,dome,4.32,4.061933458834598,0.8339803349330877
6/16/1970,pool,0.35,0.079,dome,1.896,1.7827374624885177,0.18802484880144807
