date,site,no2_mgl,no3_mgl,nh3_mgl,organic_n_mgl,total_n_mgl
1968-08-29,Concrete,nd,0.05,0.05,0.65,0.75
1968-09-18,Concrete,nd,nd,0.05,0.15,0.2
1968-09-18,Jungle,nd,nd,0.1,0.1,0.2
1968-09-23,Concrete,nd,nd,0.1,0.1,0.2
1968-09-23,Jungle,nd,nd,0.1,0.1,0.2
1968-10-18,Concrete,nd,nd,0.05,0.35,0.4
1968-10-25,Concrete,nd,nd,0.05,0.25,0.3
1968-10-25,Jungle,0.02,0.02,0.05,0.35,0.42
1968-11-09,Concrete,nd,nd,0.03,0.17,0.2
1968-11-14,Concrete,0.2,0.2,0.1,0.2,0.5
1969-10-03,Concrete,nd,0.185,0.2,0.55,0.44
1969-10-10,Concrete,nd,0.03,0.03,6.1,6.16
1969-10-16,Concrete,nd,0.025,0.02,0.45,0.5
1969-12-14,Concrete,nd,0.145,0.115,0.35,0.61
1969-12-16,Concrete,nd,0.155,0.175,0.1,0.34
1970-01-08,Concrete,nd,0.18,0.215,0.1,0.5
1970-01-30,Concrete,nd,0.06,0.015,0.85,0.93
1970-02-04,Concrete,nd,0.395,0.23,0.15,0.78
1970-02-27,Concrete,nd,0.3,0.045,0.15,0.5
1970-03-07,Concrete,nd,0.17,0.02,0.55,0.74
