date,newdate,site,winkler_probe,depth_m,GPP_gO2m2d,ER_gO2m2d
4/14/1968,4/14/2019,Concrete,w,0.5,0.82,1.05
5/6/1968,5/6/2019,Concrete,w,0.45,0.52,1.13
6/6/1968,6/6/2019,Concrete,w,0.42,0.77,1.19
6/18/1968,6/18/2019,Concrete,w,0.46,0.75,1.7
7/13/1968,7/13/2019,Concrete,w,0.43,0.28,1.07
7/27/1968,7/27/2019,Concrete,w,0.33,0.33,0.73
8/30/1968,8/30/2019,Concrete,w,0.22,0.7,0.9
10/4/1968,10/4/2019,Concrete,w,0.3,1.03,1.66
11/10/1968,11/10/2019,Concrete,p,0.47,0.93,1.52
11/11/1968,11/11/2019,Concrete,p,0.49,0.41,1.15
11/24/1968,11/24/2019,Concrete,p,0.44,0.21,0.82
12/12/1968,12/12/2019,Concrete,p,0.42,0.24,0.39
1/17/1969,1/17/2020,Concrete,w,0.44,0.42,0.52
2/21/1969,2/21/2020,Concrete,w,0.48,0.66,0.89
3/27/1969,3/27/2019,Concrete,p,0.6,1.51,1.48
3/28/1969,3/28/2019,Concrete,p,0.55,1.43,1.78
3/29/1969,3/29/2019,Concrete,p,0.6,1.24,1.79
4/1/1969,4/1/2019,Concrete,w,0.5,0.97,1.51
4/1/1969,4/1/2019,Concrete,p,0.5,0.65,0.88
4/19/1969,4/19/2019,Concrete,p,0.79,1.19,1.49
4/22/1969,4/22/2019,Concrete,p,0.57,0.86,1.07
4/23/1969,4/23/2019,Concrete,p,0.55,1.06,1.08
4/25/1969,4/25/2019,Concrete,w,0.5,0.98,1.56
4/25/1969,4/25/2019,Concrete,p,0.5,1.19,1.56
4/26/1969,4/26/2019,Concrete,p,0.5,1.24,2.08
5/14/1969,5/14/2019,Concrete,p,0.4,1.07,1.55
5/16/1969,5/16/2019,Concrete,p,0.41,1.11,1.83
5/18/1969,5/18/2019,Concrete,p,0.4,0.55,1.03
5/30/1969,5/30/2019,Concrete,p,0.4,0.5,1.24
6/2/1969,6/2/2019,Concrete,p,0.39,0.85,1.7
6/5/1969,6/5/2019,Concrete,w,0.45,0.78,2.26
6/7/1969,6/7/2019,Concrete,p,0.37,0.46,0.84
6/8/1969,6/8/2019,Concrete,p,0.37,0.61,1.15
6/8/1969,6/8/2019,Concrete,p,0.45,0.66,1.58
7/1/1969,7/1/2019,Concrete,p,0.37,0.5,1.27
7/18/1969,7/18/2019,Concrete,p,0.32,0.54,0.81
7/19/1969,7/19/2019,Concrete,p,0.32,0.49,0.82
7/20/1969,7/20/2019,Concrete,p,0.3,0.57,0.97
7/21/1969,7/21/2019,Concrete,p,0.3,0.78,1.08
7/22/1969,7/22/2019,Concrete,p,0.3,0.39,0.64
7/25/1969,7/25/2019,Concrete,w,0.3,0.41,0.74
7/27/1969,7/27/2019,Concrete,p,0.45,0.45,1
8/25/1969,8/25/2019,Concrete,w,0.37,0.29,0.73
10/3/1969,10/3/2019,Concrete,p,0.65,0.8,2.78
10/4/1969,10/4/2019,Concrete,p,0.44,0.6,1.83
10/5/1969,10/5/2019,Concrete,p,0.41,0.3,1.04
11/16/1969,11/16/2019,Concrete,p,0.35,0.43,1.15
11/21/1969,11/21/2019,Concrete,w,0.36,0.23,0.57
11/23/1969,11/23/2019,Concrete,p,0.35,0.54,1.05
2/14/1970,2/14/2020,Concrete,w,0.4,0.44,1.13
3/11/1970,3/11/2019,Concrete,p,0.5,3.15,3.58
3/12/1970,3/12/2019,Concrete,p,0.5,2.28,1.49
3/13/1970,3/13/2019,Concrete,p,0.82,8.85,13.4
3/14/1970,3/14/2019,Concrete,p,0.67,2.97,1.84
4/22/1970,4/22/2019,Concrete,p,0.5,0.63,1.65
4/23/1970,4/23/2019,Concrete,p,0.5,1.69,2.5
4/25/1970,4/25/2019,Concrete,p,0.47,1.12,1.47
4/26/1970,4/26/2019,Concrete,p,0.47,0.66,1.37
5/28/1970,5/28/2019,Concrete,p,0.47,0.54,1.12
5/29/1970,5/29/2019,Concrete,p,0.42,0.88,1.71
6/6/1968,6/6/2019,Wood Bridge,w,0.75,0.61,1.6
6/18/1968,6/18/2019,Wood Bridge,w,0.67,0.62,1.86
7/13/1968,7/13/2019,Wood Bridge,w,0.76,0.64,2.24
7/27/1968,7/27/2019,Wood Bridge,w,0.66,1.14,2.98
8/30/1968,8/30/2019,Wood Bridge,w,0.3,1.41,2.96
10/4/1968,10/4/3019,Wood Bridge,w,0.18,0.72,1.57
1/1/1969,1/1/2020,Wood Bridge,w,0.67,0.59,0.9
4/25/1969,4/25/2019,Wood Bridge,w,0.83,1.33,1.99
6/5/1969,6/5/2019,Wood Bridge,w,0.78,0.69,2.04
7/25/1969,7/25/2019,Wood Bridge,w,0.63,1.56,3.37
8/25/1969,8/25/2019,Wood Bridge,w,0.7,1.02,2.13
2/21/1969,2/21/2020,Blackwood,w,0.25,0.28,0.59
4/25/1969,4/25/2019,Blackwood,w,0.27,0.97,1.49
5/20/1969,5/20/2019,Blackwood,p,0.27,1.28,2.3
6/5/1969,6/5/2019,Blackwood,w,0.22,0.76,2.12
7/25/1969,7/25/2019,Blackwood,w,0.1,0.39,1.78
8/25/1969,8/25/2019,Blackwood,w,0.14,0.33,1.64
11/21/1969,11/21/2019,Blackwood,w,0.13,0.27,0.93
2/14/1970,2/14/2020,Blackwood,w,0.17,0.64,0.98
