"date","location","TP_mgl","GPP_gO2m3d","TCR_gO2m3d"
1969-04-25,"Blackwood",0.04,3.36,5.54
1969-04-25,"WL/10",0.17,1.72,2.33
1969-04-25,"Wood Bridge",0.01,1.6,2.4
1969-04-25,"Concrete",0.25,1.95,3.11
1969-04-25,"P-66",0.17,1.15,1.25
1969-07-25,"Blackwood",0.08,3.86,17.8
1969-07-25,"Wood Bridge",0.01,0.63,2.56
1969-07-25,"Concrete",0.02,1.41,2.47
1969-11-21,"Blackwood",0.043,2.06,7.19
1969-11-21,"Concrete",0.028,0.6,1.58
1970-02-14,"Blackwood_up",0.055,,
1970-02-14,"Blackwood_down",0.025,3.76,5.76
1970-02-14,"Concrete_up",0.065,1.09,2.82
1970-02-14,"Concrete_down",0.016,,
