id,category,CellTally1992,CellTally2001,CellTally2004,CellTally2006,CellTally2008,CellTally2011,CellTally2013,CellTally2016
11,Open water,150,304,312,273,285,297,295,313
12,Perennial ice/snow,NA,NA,NA,NA,NA,NA,NA,NA
21,"Developed, open space",1862,6801,6801,6876,6876,6961,6961,7001
22,"Developed, low intensity",62,1116,1116,1180,1180,1278,1278,1292
23,"Developed, medium intensity",594,440,440,483,483,598,598,612
24,Developed high intensity,NA,48,48,63,63,127,127,133
31,Barren land (rock/sand/clay),71,31,31,31,34,31,31,31
41,Deciduous forest,42492,38988,38354,37625,37654,37922,38205,38046
42,Evergreen forest,24547,13942,13813,13527,13465,14082,14324,14430
43,Mixed forest,11362,16581,16789,16890,17031,17206,17295,17404
51,Dwarf scrub,NA,NA,NA,NA,NA,NA,NA,NA
52,Shrub/scrub,NA,1909,1682,1321,1844,957,1481,751
71,Grassland/herbaceous,NA,987,1906,3129,2514,2099,1013,1631
72,Sedge/herbaceous,NA,NA,NA,NA,NA,NA,NA,NA
73,Lichens,NA,NA,NA,NA,NA,NA,NA,NA
74,Moss,NA,NA,NA,NA,NA,NA,NA,NA
81,Pasture/hay,7253,8466,8322,8217,8186,8057,8006,7971
82,Cultivated crops,1481,515,515,515,515,515,515,515
90,Woody wetlands,NA,1177,1049,1069,1184,1182,1184,1185
95,Emergent herbaceous wetlands,NA,12,139,118,3,5,4,2
0,NA,56633,56633,56633,56633,56633,56633,56633,56633
85,NA,18,NA,NA,NA,NA,NA,NA,NA
91,NA,1390,NA,NA,NA,NA,NA,NA,NA
92,NA,35,NA,NA,NA,NA,NA,NA,NA
